USERNAME,EMAIL,ACCOUNT_NAME,ACCOUNT_ID,ACCOUNT_LEVEL,WINS,LOSSES,LEAGUE_POINTS,RANK,TIER,ROLE,SCHEDULE_TIME_START,SCHEDULE_TIME_END,EXTRAVERSION,AGREEABLENESS,CONSCIENTIOUSNESS,NEUROTICISM,OPENNESS,CLUSTER
,,,,416,102,62,1,2,2,0,5,9,2,3,4,1,1,296
,,,,223,229,210,26,2,1,2,6,8,4,2,4,2,2,47
,,,,225,152,126,1,0,8,0,11,12,3,2,3,3,2,1010
,,,,477,77,59,1,0,6,0,3,4,2,2,1,3,2,815
,,,,548,244,249,1,1,4,0,20,23,1,3,2,3,1,876
,,,,613,176,159,9,0,3,3,5,9,2,3,3,2,1,429
,,,,687,103,69,0,3,2,0,11,14,2,1,1,3,1,1042
,,,,122,263,249,0,2,0,2,20,22,3,3,2,2,1,1154
,,,,550,133,99,14,3,6,3,20,21,4,4,4,1,2,67
,,,,306,69,56,35,3,3,0,1,3,1,4,2,4,2,509
,,,,446,48,37,1,1,1,0,18,22,1,1,3,3,1,83
,,,,673,213,203,0,0,8,0,15,18,2,3,4,4,3,224
,,,,51,121,81,138,2,8,0,4,5,1,3,1,2,1,542
,,,,124,155,144,39,2,7,2,6,7,2,4,3,3,3,43
,,,,499,72,70,164,0,0,4,20,23,3,3,4,3,2,1130
,,,,594,35,24,160,1,7,1,21,23,4,4,2,4,2,444
,,,,684,267,213,1,1,2,4,19,22,2,3,1,2,2,117
,,,,77,163,144,0,3,1,2,22,2,4,3,2,4,4,216
,,,,346,275,217,32,2,7,3,22,2,2,4,4,1,1,38
,,,,137,707,672,49,0,6,3,5,7,3,2,3,3,4,93
,,,,34,88,69,1,2,7,4,18,22,2,4,3,4,2,12
,,,,574,112,118,0,1,7,4,14,15,3,4,3,3,3,315
,,,,215,144,98,1,2,8,2,20,0,2,4,3,4,4,434
,,,,308,207,133,1,3,3,3,2,3,3,4,3,2,3,904
,,,,502,222,202,16,2,3,0,18,22,2,2,2,3,2,615
,,,,670,45,41,5,1,1,0,6,7,1,4,1,3,4,765
,,,,137,155,122,0,3,6,0,15,17,2,2,2,1,3,697
,,,,624,200,157,46,2,2,1,21,22,1,2,2,2,3,615
,,,,229,134,124,16,3,5,3,7,9,1,2,3,2,1,154
,,,,671,118,105,1,0,8,1,21,22,3,1,3,4,2,1165
,,,,314,208,181,1,3,2,3,19,23,1,3,1,3,2,830
,,,,452,203,178,16,1,7,1,3,6,3,3,3,2,1,253
,,,,465,203,200,24,3,4,0,0,2,4,2,2,3,1,78
,,,,488,380,317,62,0,7,2,11,15,2,3,3,2,2,389
,,,,326,428,391,0,2,4,1,20,23,1,2,1,1,3,615
,,,,17,470,458,1,1,4,0,9,11,4,4,2,1,4,199
,,,,474,169,124,0,0,8,4,17,20,3,1,3,3,2,1194
,,,,521,156,136,0,2,1,3,8,9,1,3,4,1,1,462
,,,,62,144,97,1,0,6,2,3,6,4,3,3,4,4,134
,,,,604,58,28,1,2,3,4,18,22,2,1,1,1,1,735
,,,,608,125,111,1,3,1,4,16,20,4,2,2,4,4,546
,,,,463,230,193,24,0,7,3,10,14,2,2,3,3,3,1171
,,,,660,47,28,1,3,3,2,1,3,1,1,4,2,3,1151
,,,,152,47,21,1,2,5,3,10,11,1,3,4,3,3,740
,,,,354,278,248,1,3,2,2,23,1,2,2,1,2,3,386
,,,,422,75,54,1,2,5,0,13,17,4,2,4,1,2,535
,,,,186,78,53,1,0,6,3,23,3,1,2,1,1,1,167
,,,,375,111,88,1,2,2,1,20,22,1,3,4,4,1,1233
,,,,388,136,114,1,2,8,0,4,8,4,4,1,1,4,245
,,,,182,136,107,9,0,6,1,18,22,1,3,1,1,3,179
,,,,574,146,129,1,3,2,4,8,11,4,2,1,4,1,851
,,,,116,99,83,0,1,1,0,7,8,2,2,2,4,3,866
,,,,464,232,182,1,3,3,2,2,3,3,3,3,3,1,645
,,,,697,82,59,1,1,0,2,10,13,3,4,4,2,1,528
,,,,379,187,163,0,3,6,2,5,8,2,3,2,4,3,165
,,,,429,206,145,399,3,7,0,14,15,2,1,3,4,2,1110
,,,,490,37,15,469,1,2,3,19,23,1,4,1,2,4,1242
,,,,148,159,127,342,0,4,0,12,16,4,2,2,2,3,1057
,,,,523,315,279,339,2,5,3,11,15,1,3,2,1,1,246
,,,,242,42,25,1,2,0,1,6,10,4,3,2,1,3,1227
,,,,583,254,220,14,2,1,4,5,6,4,1,2,1,3,1036
,,,,85,97,65,1,2,0,3,18,19,2,2,4,1,2,32
,,,,294,50,31,37,3,6,4,3,5,1,2,3,3,4,1113
,,,,340,290,290,1,2,2,0,1,4,4,4,1,4,1,233
,,,,99,384,392,1,1,0,2,13,17,1,2,2,2,3,610
,,,,328,226,195,0,2,0,4,10,13,3,2,1,2,3,997
,,,,387,86,60,1,0,3,0,14,15,2,3,4,3,1,664
,,,,668,127,95,6,0,4,1,1,3,3,4,4,3,3,819
,,,,477,77,45,2,0,4,4,20,23,1,3,1,2,4,1242
,,,,322,372,328,80,1,5,1,16,18,1,2,3,3,1,613
,,,,203,402,415,23,0,0,1,20,22,1,1,1,1,1,310
,,,,10,302,293,71,3,4,3,15,19,4,4,4,1,1,198
,,,,450,343,330,112,1,7,3,12,16,1,2,4,1,4,79
,,,,273,287,258,86,3,6,0,1,3,1,4,2,3,3,509
,,,,612,567,513,1,1,4,2,9,11,1,2,4,4,2,1150
,,,,444,452,391,51,2,4,0,10,11,2,4,3,2,2,337
,,,,76,394,365,90,1,6,0,22,1,4,3,4,4,3,72
,,,,694,172,154,1,0,4,3,18,21,2,3,2,3,4,498
,,,,457,298,250,0,3,4,0,11,12,4,3,2,4,4,19
,,,,172,74,43,1,2,2,1,21,22,4,1,4,1,1,742
,,,,534,195,194,0,1,5,3,19,23,2,4,3,2,2,992
,,,,399,355,366,0,3,2,3,15,19,1,1,4,2,4,791
,,,,35,354,347,14,0,3,4,10,11,2,1,1,3,4,953
,,,,298,40,22,298,3,8,1,8,11,2,4,1,2,3,165
,,,,652,146,127,1,3,1,3,21,23,3,2,1,1,3,1193
,,,,421,148,118,0,1,4,3,0,2,2,2,4,1,2,1060
,,,,371,428,388,47,3,3,3,13,17,4,3,2,3,4,1111
,,,,439,60,20,37,1,4,0,8,11,1,4,3,3,1,1221
,,,,498,159,107,1,1,5,2,2,5,2,4,1,3,4,863
,,,,399,126,84,0,1,8,1,13,15,4,2,1,2,1,130
,,,,264,379,309,47,0,2,2,6,9,4,4,1,2,3,1047
,,,,563,330,312,18,1,5,2,1,2,2,4,1,2,2,713
,,,,363,197,177,1,1,4,0,4,6,3,2,3,4,3,439
,,,,537,82,72,1,0,7,3,11,15,1,2,1,3,4,77
,,,,487,645,651,36,1,5,0,2,3,1,4,4,3,1,473
,,,,46,169,125,13,3,8,3,16,19,2,1,4,3,4,24
,,,,53,49,49,47,2,0,4,15,16,2,2,4,2,1,32
,,,,142,715,708,1,3,3,3,15,18,3,1,2,2,1,952
,,,,271,101,97,16,3,2,3,7,10,2,2,2,1,2,154
,,,,182,117,91,0,3,6,1,15,19,2,2,3,3,2,1110
,,,,540,149,104,37,2,7,3,23,1,1,1,4,1,1,723
,,,,617,28,21,104,2,0,1,7,11,4,1,1,3,1,946
,,,,376,305,252,1,0,5,3,11,15,3,4,4,1,3,928
,,,,136,104,67,153,1,7,4,1,3,1,4,2,1,1,635
,,,,691,109,110,1,2,6,1,12,15,3,1,2,4,3,188
,,,,300,93,77,4,2,6,3,16,19,1,3,2,2,2,400
,,,,362,263,199,1,1,3,0,21,0,2,2,4,4,1,534
,,,,533,197,165,18,2,0,2,20,21,2,4,1,4,3,164
,,,,14,365,324,13,3,1,3,5,7,2,1,2,4,1,1086
,,,,400,525,469,18,3,4,3,10,13,4,4,4,2,4,73
,,,,375,74,63,0,3,5,1,11,14,2,3,4,4,2,679
,,,,684,270,207,71,0,1,0,13,17,3,2,1,1,4,978
,,,,677,376,344,0,3,1,2,14,15,4,1,3,2,2,457
,,,,564,316,301,42,2,0,3,0,2,3,1,2,2,1,597
,,,,399,197,134,95,0,1,2,9,13,2,2,2,2,1,842
,,,,65,274,280,0,0,1,3,22,2,2,1,1,2,4,466
,,,,2,84,59,1,1,2,0,15,16,1,4,3,3,1,1221
,,,,115,75,48,161,3,3,4,3,4,2,2,2,2,3,751
,,,,216,122,87,49,2,7,0,17,21,1,4,2,1,1,65
,,,,464,186,133,1,3,1,2,11,14,3,4,2,3,3,1067
,,,,171,161,135,1,0,5,1,18,21,4,3,4,3,4,917
,,,,205,178,183,0,1,1,0,14,18,1,2,4,1,3,388
,,,,45,245,220,75,1,8,2,11,15,1,1,4,2,1,474
,,,,237,257,224,1,3,3,0,4,6,1,2,4,3,3,195
,,,,90,408,415,1,1,0,1,9,10,2,3,4,2,1,541
,,,,93,110,101,1,1,6,2,20,0,3,1,2,1,4,187
,,,,639,273,263,24,1,2,1,19,23,4,4,3,1,2,125
,,,,273,236,231,20,3,6,3,4,7,2,4,2,2,4,719
,,,,324,37,28,1,1,0,2,17,20,3,2,4,2,4,89
,,,,548,108,99,1,3,4,1,7,11,2,1,3,2,3,1232
,,,,346,550,524,1,3,0,0,10,14,1,3,4,3,1,701
,,,,183,324,293,25,0,7,4,23,1,1,2,3,1,2,723
,,,,571,97,73,89,0,7,2,6,7,3,1,4,4,2,725
,,,,375,173,138,20,2,5,1,18,20,4,3,1,3,1,508
,,,,310,254,265,33,3,2,0,19,23,4,4,4,3,2,711
,,,,77,269,248,0,0,5,3,9,10,2,1,1,2,4,953
,,,,349,284,283,2,1,8,3,12,15,3,2,1,2,1,631
,,,,36,316,300,47,2,0,4,13,17,1,2,3,2,3,777
,,,,174,344,338,101,2,8,3,11,13,1,2,4,1,1,381
,,,,640,334,313,74,3,4,4,10,11,4,1,1,2,2,1036
,,,,369,271,228,0,2,6,1,7,8,1,4,3,1,1,1076
,,,,394,623,599,0,2,7,0,8,10,1,1,2,2,2,262
,,,,572,350,306,1,3,0,2,12,14,1,2,2,1,4,318
,,,,460,171,173,1,3,7,4,15,18,4,2,1,4,3,297
,,,,594,132,90,1,0,3,4,0,2,1,3,1,4,3,408
,,,,123,214,174,31,0,1,1,17,18,4,4,3,3,3,917
,,,,105,184,176,0,3,3,2,7,9,1,4,4,1,4,971
,,,,562,251,231,1,2,4,0,3,7,2,3,2,3,1,501
,,,,47,198,210,19,0,7,1,20,0,2,1,3,4,3,975
,,,,698,73,41,0,0,7,3,8,12,4,3,2,2,4,289
,,,,471,105,115,22,3,7,1,20,23,3,1,3,2,4,720
,,,,143,148,155,1,0,4,2,20,0,4,4,2,2,1,566
,,,,298,110,51,1,3,4,2,2,4,4,4,3,1,2,1099
,,,,54,113,81,53,0,4,2,10,11,3,2,1,1,3,792
,,,,195,264,259,69,2,1,0,8,11,3,2,3,4,4,61
,,,,623,664,629,75,3,5,3,9,10,3,3,4,3,3,294
,,,,264,338,289,16,2,6,2,23,3,2,2,3,4,1,1200
,,,,339,778,742,61,0,2,3,3,6,1,1,4,1,2,1014
,,,,248,121,92,1,1,8,1,10,14,4,4,1,4,2,883
,,,,468,214,203,0,2,2,1,8,11,3,3,1,2,1,64
,,,,133,269,248,56,1,6,1,9,10,2,2,2,3,4,160
,,,,269,65,35,1,2,7,1,20,23,4,1,3,1,3,126
,,,,145,42,35,24,2,5,1,18,22,3,1,4,1,2,126
,,,,85,307,325,0,0,2,1,13,15,4,1,3,4,3,726
,,,,526,177,171,15,1,8,1,15,17,4,1,1,2,3,183
,,,,233,407,365,1,0,4,0,12,16,2,2,3,1,2,956
,,,,555,250,228,1,2,6,0,0,3,2,1,4,1,3,440
,,,,614,181,154,1,3,0,4,13,16,1,4,3,3,3,519
,,,,374,437,415,1,3,5,2,1,3,1,1,3,3,2,965
,,,,400,136,116,1,0,0,3,19,23,2,2,2,4,4,1046
,,,,404,113,48,232,1,8,3,21,23,4,2,4,1,4,867
,,,,397,262,255,1,0,2,0,10,13,4,1,4,2,1,902
,,,,2,235,201,1,3,5,1,17,19,1,4,3,3,3,60
,,,,452,104,74,0,1,3,2,2,5,2,1,1,3,2,582
,,,,85,60,37,38,2,5,3,17,18,4,4,2,3,4,496
,,,,317,190,160,1,1,0,3,0,2,3,2,2,4,1,170
